location,online_order,name
BTM,No,923
BTM,Yes,2078
Banashankari,No,276
Banashankari,Yes,359
Banaswadi,No,216
Banaswadi,Yes,253
Bannerghatta Road,No,419
Bannerghatta Road,Yes,734
Basavanagudi,No,193
Basavanagudi,Yes,301
Bellandur,No,439
Bellandur,Yes,699
Brigade Road,No,330
Brigade Road,Yes,451
Brookefield,No,206
Brookefield,Yes,401
Church Street,No,197
Church Street,Yes,296
Cunningham Road,No,97
Cunningham Road,Yes,223
Domlur,No,206
Domlur,Yes,179
Electronic City,No,657
Electronic City,Yes,557
Frazer Town,No,216
Frazer Town,Yes,307
HSR,No,449
HSR,Yes,1482
Indiranagar,No,654
Indiranagar,Yes,1176
JP Nagar,No,622
JP Nagar,Yes,962
Jayanagar,No,395
Jayanagar,Yes,1029
Kalyan Nagar,No,265
Kalyan Nagar,Yes,398
Kammanahalli,No,185
Kammanahalli,Yes,277
Koramangala 1st Block,No,177
Koramangala 1st Block,Yes,539
Koramangala 4th Block,No,351
Koramangala 4th Block,Yes,405
Koramangala 5th Block,No,685
Koramangala 5th Block,Yes,1306
Koramangala 6th Block,No,326
Koramangala 6th Block,Yes,509
Koramangala 7th Block,No,257
Koramangala 7th Block,Yes,610
Lavelle Road,No,255
Lavelle Road,Yes,182
MG Road,No,344
MG Road,Yes,299
Malleshwaram,No,244
Malleshwaram,Yes,352
Marathahalli,No,631
Marathahalli,Yes,1033
New BEL Road,No,250
New BEL Road,Yes,344
Old Airport Road,No,201
Old Airport Road,Yes,205
Rajajinagar,No,221
Rajajinagar,Yes,265
Residency Road,No,304
Residency Road,Yes,166
Richmond Road,No,275
Richmond Road,Yes,159
Sarjapur Road,No,289
Sarjapur Road,Yes,668
Ulsoor,No,228
Ulsoor,Yes,415
Whitefield,No,886
Whitefield,Yes,1078
others,No,2142
others,Yes,2809
